source_id,record_type,status,priority,provider,title,description,urls_canonical,urls_landing,urls_api,urls_download,urls_related,rights_basis,license_expression,commercial_use_allowed,derivatives_allowed,scan_redistribution_allowed,attribution_required,rights_evidence_text,rights_terms_url,rights_verification_status,rights_verified_at,scope_date_range,scope_languages,scope_document_types,scope_creator_names,scope_expected_handwriting,scope_estimated_scan_count,ingest_method,ingest_access_notes,ingest_agent_notes,ingest_blocked_reason,evidence_count
archive__hebrew_manuscripts,collection,candidate,low,Internet Archive,Internet Archive — Hebrew Manuscripts (PDM uploads),PDM-tagged Hebrew manuscript uploads from various libraries mirrored on the Internet Archive. Quality and format vary; useful as overflow/discovery source.,https://archive.org/,,,,,public_domain,PDM-1.0,,,,,PDM-tagged items only. Internet Archive does not guarantee rights; verify each item's stated license before ingesting. Source: docs/sources/chatgpt_summary_2.md.,,source_note_only,,medieval-modern,he; yi; other,manuscript; codex; other,,mixed,,api,Internet Archive S3-like API for bulk download; filter by subject:hebrew AND mediatype:texts AND licenseurl:PDM.,"Low priority — many IA items duplicate OPenn/LoC sources with lower image quality. Named high-value items to target: Leningrad Codex, Aleppo Codex, Cervera Bible, Lailashi Codex, Haverford Masoretic Bible. Use as discovery/gap-fill after primary sources are exhausted. For commercial use, verify against the holding institution when possible.",,2
bl__hebrew_collection,collection,rejected,exclude,British Library,British Library — Hebrew Manuscripts and Cairo Genizah Collection,Extensive Hebrew manuscripts and Cairo Genizah fragments. Terms frequently restrict commercial reuse or require paid permissions for publication.,https://www.bl.uk/hebrew-manuscripts,,,,,restricted,,false,,false,,Terms frequently restrict commercial reuse or require paid permissions for publication. Source: docs/sources/gemini_summary_2.md.,,source_note_only,,medieval-modern,he,manuscript; other,,yes,,manual_download,Rights must be verified per item before any ingestion.,Flagged as avoid unless specific items with confirmed permissive rights are identified.,rights_restriction,1
bnf__gallica_hebrew_manuscripts,collection,rejected,exclude,Bibliothèque nationale de France (BnF),BnF Gallica — Hebrew Manuscripts,Large digitized Hebrew manuscript collection on Gallica. Commercial use not permitted under Gallica terms of use.,https://gallica.bnf.fr/,,,,,restricted,,false,,false,,Commercial use not permitted under Gallica terms of use. Source: docs/sources/chatgpt_summary_2.md.,,source_note_only,,medieval-modern,he; other,manuscript; codex; other,,yes,,unknown,,Excluded due to commercial use restriction.,rights_restriction,1
bodleian__hebrew_manuscripts,collection,rejected,exclude,"Bodleian Libraries, University of Oxford",Bodleian Digital Library — Hebrew Manuscripts,Extensive Hebrew manuscript collection including Genizah fragments at the Bodleian. Non-commercial restriction on digital scan images.,https://digital.bodleian.ox.ac.uk/,,,,,restricted,,false,,false,,Non-commercial restriction applies to digital scan images. Source: docs/sources/chatgpt_summary_2.md.,,source_note_only,,medieval-modern,he; ar; other,manuscript; fragment; other,,yes,,unknown,,Excluded due to non-commercial restriction. Note: some Bodleian Genizah items appear on Wikimedia Commons under permissive licenses — those can be ingested individually as commons__ entries.,rights_restriction,1
cambridge__digital_library_hebrew_genizah,collection,rejected,exclude,Cambridge Digital Library,Cambridge Digital Library — Hebrew Manuscripts and Cairo Genizah (Taylor-Schechter),Taylor-Schechter Genizah Collection and other Hebrew manuscripts. Terms frequently restrict commercial reuse or require paid permissions.,https://cudl.lib.cam.ac.uk/,,,,,restricted,,false,,false,,Terms frequently restrict commercial reuse or require paid permissions for publication. Source: docs/sources/gemini_summary_2.md.,,source_note_only,,medieval-modern,he; ar; other,manuscript; fragment; other,,yes,,manual_download,Rights must be verified per item before any ingestion. Note: we already have 3 Cambridge entries sourced via Wikimedia Commons (CC BY-SA).,Already have Cambridge T-S entries via Wikimedia Commons where rights are confirmed. Do not bulk-ingest from CUDL directly.,rights_restriction,1
commons__auerbach_letter_shtenzel_1961,item,verified,seed,Wikimedia Commons,Rabbi Shlomo Zalman Auerbach letter on daily Mishnah study,"Handwritten Hebrew letter from Rabbi Shlomo Zalman Auerbach (1910–1995) to Rabbi Yona Shtenzel on daily Mishnah study, 1961-01-11.",https://commons.wikimedia.org/wiki/File:%D7%94%D7%A8%D7%91_%D7%A9%D7%9C%D7%9E%D7%94_%D7%96%D7%9C%D7%9E%D7%9F_%D7%90%D7%95%D7%99%D7%99%D7%A8%D7%91%D7%9A_%D7%91%D7%9E%D7%9B%D7%AA%D7%91_%D7%9C%D7%A8%D7%91%D7%99_%D7%99%D7%95%D7%A0%D7%94_%D7%A9%D7%98%D7%A0%D7%A6%D7%9C_%D7%90%D7%95%D7%93%D7%95%D7%AA_%D7%9C%D7%99%D7%9E%D7%95%D7%93_%D7%94%D7%9E%D7%A9%D7%A0%D7%94_%D7%94%D7%99%D7%95%D7%9E%D7%99%D7%AA.pdf,,,https://upload.wikimedia.org/wikipedia/commons/d/dc/%D7%94%D7%A8%D7%91_%D7%A9%D7%9C%D7%9E%D7%94_%D7%96%D7%9C%D7%9E%D7%9F_%D7%90%D7%95%D7%99%D7%99%D7%A8%D7%91%D7%9A_%D7%91%D7%9E%D7%9B%D7%AA%D7%91_%D7%9C%D7%A8%D7%91%D7%99_%D7%99%D7%95%D7%A0%D7%94_%D7%A9%D7%98%D7%A0%D7%A6%D7%9C_%D7%90%D7%95%D7%93%D7%95%D7%AA_%D7%9C%D7%99%D7%9E%D7%95%D7%93_%D7%94%D7%9E%D7%A9%D7%A0%D7%94_%D7%94%D7%99%D7%95%D7%9E%D7%99%D7%AA.pdf,,cc_by_sa,CC-BY-SA-3.0,true,true,true,true,Wikimedia Commons file page; license: CC BY-SA 3.0.,https://creativecommons.org/licenses/by-sa/3.0/,primary_page_checked,2026-05-23,1961,he,letter,Shlomo Zalman Auerbach,yes,,api,Wikimedia Commons API download.,,,1
commons__begani_netatikha,item,verified,seed,Wikimedia Commons,BeGani Netatikha handwritten manuscript,"One-page handwritten Hebrew manuscript scan of Rachel Bluwstein's poem BeGani Netatikha, dated 1930 and hosted on Wikimedia Commons from the National Library of Israel.",https://commons.wikimedia.org/wiki/File:BeGani_Netatikha.jpg,https://web.nli.org.il/sites/NLI/Hebrew/digitallibrary/pages/viewer.aspx?docid=NNL03_EDU700291626&presentorid=NLI_EDU,https://commons.wikimedia.org/w/api.php?action=query&titles=File:BeGani_Netatikha.jpg&prop=imageinfo&iiprop=url%7Csize%7Cmime&format=json,https://upload.wikimedia.org/wikipedia/commons/6/6e/BeGani_Netatikha.jpg,,public_domain,PDM-1.0,true,true,true,false,Commons marks the scan and original as public domain and identifies the file as free of known copyright restrictions.,https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-09,1930,he,poem,Rachel Bluwstein,yes,1,manual_download,"Downloaded the Commons original JPEG and recorded its checksum, size, and dimensions at entry level.",This is a small but clean first verified Hebrew-language handwritten scan entry.,,2
commons__bendin_semichah_shtenzel_1933,item,verified,seed,Wikimedia Commons,Rabbinical ordination (semichah) from the Będzin Rabbinic Court for Rabbi Yona Shtenzel,"Handwritten Hebrew ordination document (כתב סמיכה) from the rabbinic court of Będzin (Poland), 1933-06-15.",https://commons.wikimedia.org/wiki/File:%D7%9B%D7%AA%D7%91_%D7%A1%D7%9E%D7%99%D7%9B%D7%94_%D7%A9%D7%9C_%D7%91%D7%99%D7%AA_%D7%93%D7%99%D7%9F_%D7%91%D7%A0%D7%93%D7%99%D7%9F_%D7%A2%D7%91%D7%95%D7%A8_%D7%94%D7%A8%D7%91_%D7%99%D7%95%D7%A0%D7%94_%D7%A9%D7%98%D7%A0%D7%A6%D7%9C.pdf,,,https://upload.wikimedia.org/wikipedia/commons/9/93/%D7%9B%D7%AA%D7%91_%D7%A1%D7%9E%D7%99%D7%9B%D7%94_%D7%A9%D7%9C_%D7%91%D7%99%D7%AA_%D7%93%D7%99%D7%9F_%D7%91%D7%A0%D7%93%D7%99%D7%9F_%D7%A2%D7%91%D7%95%D7%A8_%D7%94%D7%A8%D7%91_%D7%99%D7%95%D7%A0%D7%94_%D7%A9%D7%98%D7%A0%D7%A6%D7%9C.pdf,,cc_by_sa,CC-BY-SA-3.0,true,true,true,true,Wikimedia Commons file page; license: CC BY-SA 3.0.,https://creativecommons.org/licenses/by-sa/3.0/,primary_page_checked,2026-05-23,1933,he,other,Rabbinical Court of Będzin,yes,,api,Wikimedia Commons API download.,,,1
commons__bialik_el_hazippor,item,verified,high,Wikimedia Commons,Bialik handwritten manuscript: 'El Ha-Tzippor' (1892),"Handwritten Hebrew manuscript of Hayyim Nahman Bialik's early poem 'El Ha-Tzippor' (To the Bird), dated 1892. Pre-dates the project's preferred post-1929 scope but is cleanly public domain (Bialik d. 1934).",https://commons.wikimedia.org/wiki/File:El_hazippor.jpg,,https://commons.wikimedia.org/w/api.php?action=query&titles=File:El_hazippor.jpg&prop=imageinfo&iiprop=url%7Csize%7Cmime&format=json,https://upload.wikimedia.org/wikipedia/commons/9/9a/El_hazippor.jpg,,public_domain,PDM-1.0,true,true,true,false,This work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 70 years or fewer.,https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-09,1892,he,poem,Hayyim Nahman Bialik,yes,1,manual_download,Downloaded original Commons JPEG.,19th-century Hebrew handwriting style; differs from modern Israeli cursive — flag in quality.notes.,,1
commons__bialik_letter_safed_1927,item,rejected,seed,Wikimedia Commons,Bialik letter to Jerusalem institutions about Safed initiative (1927),"Multi-page handwritten Hebrew letter by Hayyim Nahman Bialik to Jerusalem institutions following his stay in Safed and his initiative to build in Safed, dated 1927. Hosted on Wikimedia Commons via the Bitmuna Archive (collaboration with Wikimedia Israel).",https://commons.wikimedia.org/wiki/File:%D7%9E%D7%9B%D7%AA%D7%91_%D7%91%D7%99%D7%90%D7%9C%D7%99%D7%A7_%D7%9C%D7%9E%D7%95%D7%A1%D7%93%D7%95%D7%AA_%D7%91%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D_%D7%9C%D7%90%D7%97%D7%A8_%D7%A9%D7%94%D7%95%D7%AA%D7%95_%D7%91%D7%A9%D7%A4%D7%99%D7%94_%D7%95%D7%A9%D7%99%D7%A8%D7%95_%D7%9C%D7%91%D7%A0%D7%95%D7%AA_%D7%A9%D7%A4%D7%99%D7%94_1927_-_btm3552.jpeg,,https://commons.wikimedia.org/w/api.php?action=query&titles=File:%D7%9E%D7%9B%D7%AA%D7%91_%D7%91%D7%99%D7%90%D7%9C%D7%99%D7%A7_%D7%9C%D7%9E%D7%95%D7%A1%D7%93%D7%95%D7%AA_%D7%91%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D_%D7%9C%D7%90%D7%97%D7%A8_%D7%A9%D7%94%D7%95%D7%AA%D7%95_%D7%91%D7%A9%D7%A4%D7%99%D7%94_%D7%95%D7%A9%D7%99%D7%A8%D7%95_%D7%9C%D7%91%D7%A0%D7%95%D7%AA_%D7%A9%D7%A4%D7%99%D7%94_1927_-_btm3552.jpeg&prop=imageinfo&iiprop=url%7Csize%7Cmime&format=json,https://upload.wikimedia.org/wikipedia/commons/7/77/%D7%9E%D7%9B%D7%AA%D7%91_%D7%91%D7%99%D7%90%D7%9C%D7%99%D7%A7_%D7%9C%D7%9E%D7%95%D7%A1%D7%93%D7%95%D7%AA_%D7%91%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D_%D7%9C%D7%90%D7%97%D7%A8_%D7%A9%D7%94%D7%95%D7%AA%D7%95_%D7%91%D7%A9%D7%A4%D7%99%D7%94_%D7%95%D7%A9%D7%99%D7%A8%D7%95_%D7%9C%D7%91%D7%A0%D7%95%D7%AA_%D7%A9%D7%A4%D7%99%D7%94_1927_-_btm3552.jpeg,https://commons.wikimedia.org/wiki/File:%D7%9E%D7%9B%D7%AA%D7%91_%D7%91%D7%99%D7%90%D7%9C%D7%99%D7%A7_%D7%9C%D7%9E%D7%95%D7%A1%D7%93%D7%95%D7%AA_%D7%91%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D_%D7%9C%D7%90%D7%97%D7%A8_%D7%A9%D7%94%D7%95%D7%AA%D7%95_%D7%91%D7%A9%D7%A4%D7%99%D7%94_%D7%95%D7%A9%D7%99%D7%A8%D7%95_%D7%9C%D7%91%D7%A0%D7%95%D7%AA_%D7%A9%D7%A4%D7%99%D7%94_1927_-_btm3553.jpeg; https://commons.wikimedia.org/wiki/File:%D7%9E%D7%9B%D7%AA%D7%91_%D7%91%D7%99%D7%90%D7%9C%D7%99%D7%A7_%D7%9C%D7%9E%D7%95%D7%A1%D7%93%D7%95%D7%AA_%D7%91%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D_%D7%9C%D7%90%D7%97%D7%A8_%D7%A9%D7%94%D7%95%D7%AA%D7%95_%D7%91%D7%A9%D7%A4%D7%99%D7%94_%D7%95%D7%A9%D7%99%D7%A8%D7%95_%D7%9C%D7%91%D7%A0%D7%95%D7%AA_%D7%A9%D7%A4%D7%99%D7%94_1927_-_btm3554.jpeg,public_domain,LicenseRef-Public-Domain-Israel,true,true,true,false,This work or image is now in the public domain because its term of copyright has expired in Israel.,,primary_page_checked,2026-05-09,1927,he,letter,Hayyim Nahman Bialik,yes,3,manual_download,"Downloaded the original Commons JPEGs for all 3 pages of the letter (btm3552, btm3553, btm3554).",All three pages of the letter ingested as p0001/p0002/p0003 of this source.,,2
